posicion,dorsal,atleta,categoria,tiempo
Número,Nombre,Modalidad,KM,Tiempo
217,JOSE CARLOS AGUIRRE SILVA,2,2,00:41:31
33,LILIA FRAGOSO VICENTEÑO,2,2,00:43:27
157,ULBER SANTIAGO,2,2,00:40:57
346,LUIS ADRIÁN ARAGÓN MARCIAL,1,1,00:36:03
34,MARIA CONCEPCIÓN LÓPEZ MORALES,2,2,00:42:56
263,M. DE CARMEN PARADA ESTRADA,2,2,00:42:55
77,MARIO RABIELA SOTELO,1,1,00:35:55
27,ESPERANZA ARELLANO SANCHEZ,2,2,00:42:45
212,JOSE LUIS MENCHACA GUTIERREZ,1,1,00:38:19
279,TERESA HERNÁNDEZ RONQUILLO,2,2,00:42:28
26,DIANA QUEZADA FLORES,2,2,00:42:21
360,SARA GABRIELA FLORES VÁZQUEZ,2,2,00:42:20
67,ELADIO DARIO RIOS ORTEGA,1,1,00:35:19
249,IZYS AZALIA CORTEZ BAÑOS,2,2,00:41:56
361,ENRIQUETA CEBRERO ROSAS,2,2,00:41:30
147,PAOLA ELISA RUBIO MARTÍNEZ,1,1,00:37:10
394,ARTURO ESPINDOLA CORIA,1,1,00:34:15
214,CINTHIA ABIGAIL GALICIA MONTAÑO,1,1,00:36:49
29,VIOLETA PEÑA CALLEJAS,2,2,00:40:43
82,SILVIA PAOLA BOLAÑOS GALVAN,1,1,00:36:25
57,ROGELIO RÍOS OSORNIO,2,2,00:38:26
293,BRUNO WEBER RUIZ,2,2,00:38:24
200,MARÍA ASUNCIÓN GALVÁN FIGUEROA,2,2,00:40:30
292,ALEJANDRO WEBER PONCE DE LEÓN,2,2,00:38:21
142,MA. TERESA BOLAÑOS DÍAZ,1,1,00:36:00
60,ELIU LAEL HERNÁNDEZ RAMÍREZ,1,1,00:33:13
23,MARIA ELENA ARIZMENDI SANCHEZ,1,1,00:35:44
336,JOEL DE JESÚS SÁNCHEZ GUARDADO,2,2,00:37:17
362,ROSENDA ANTONIO GONZALEZ GUEVARA,2,2,00:39:16
218,JORGE LUIS MIRANDA HERRERA,2,2,00:36:10
331,NOEMÍ GUERRERO HERNÁNDEZ,2,2,00:38:02
66,MIGUEL ANGEL GIL RIOS,1,1,00:31:00
255,MIRIAM ITZEL DOMINGUEZ PANTOJA,2,2,00:37:45
310,GERARDO DANIEL SANCHEZ ESPINOZA,1,1,00:29:51
231,CRISTINA FERNANDEZ,2,2,00:36:31
235,ALISSON MAILEN MARTINEZ ZAVALA,2,2,00:36:13
236,JOSUE NAHUM DE LEON RUIZ,2,2,00:33:53
12,JOSÉ ANTONIO FRAGOSO DOMÍNGUEZ,1,1,00:29:02
146,ALEJANDRO ALCOCER RUIZ,2,2,00:33:47
272,TERESA HERRERA GOMEZ,2,2,00:35:49
92,JUAN JOSÉ HERNÁNDEZ HERNÁNDEZ,2,2,00:33:10
289,LAURA GPE. PAREDES HERRERA,2,2,00:35:13
10,GABRIELA ANTONIA SERRANO LÓPEZ,2,2,00:35:10
165,ENRIQUE SANTIBÁÑEZ CORTÉS,2,2,00:33:03
315,AGUSTÍN ORTEGA HUERTA,1,1,00:28:12
170,NORMA ERIKA AVILA,1,1,00:30:37
176,JUAN OCTAVIO TREVIÑO URIBE,1,1,00:27:51
350,SANDRA TORRES RUIZ,2,2,00:34:43
206,KARLA GRACIELA HERNADEZ BLANCO,1,1,00:30:21
316,DIEGO AGUSTÍN LOPEZ IBARRA,2,2,00:32:25
232,VERONICA VILLAREAL PACHECO,2,2,00:34:30
48,ALFONSO VARGAS SANTILLAN,2,2,00:32:21
342,ANGELICA SANTOS ORDUÑA,2,2,00:34:20
388,LUNA VALENTINA CÁRDENAS JAIMES,1,1,00:29:51
325,ENRIQUE LIRA RAMÍREZ,2,2,00:31:48
318,JAIME ESPINOZA H LUZ,2,2,00:31:46
84,ALEJANDRA GUTIÉRREZ GONZÁLEZ,1,1,00:29:36
243,ROBERTO LEOBARDO EMMERT CAMARENA,1,1,00:26:41
31,ANGELICA SÁNCHEZ FLORES,1,1,00:29:19
141,MIRIAM PARRA BAZA,1,1,00:29:17
393,SOFIA ALMAZÁN HERNÁNDEZ,1,1,00:29:17
